Description,Amount,Created Time
AFC Savings,"COP 2,500,000.00","June 11, 2022 1:24 PM"
AFC Savings,"COP 2,500,000.00","June 12, 2022 6:45 PM"
AFC Savings,"COP 2,500,000.00","July 31, 2022 5:30 PM"
AFC Savings,"COP 2,500,000.00","August 27, 2022 1:40 PM"
AFC Savings,"COP 2,500,000.00","September 25, 2022 3:17 AM"
AFC Savings,"COP 2,500,000.00","October 30, 2022 4:06 PM"
AFC Savings,"COP 2,500,000.00","December 2, 2022 10:28 PM"
AFC Savings,"COP 2,500,000.00","January 10, 2023 12:46 AM"
AFC Savings,"COP 2,500,000.00","March 5, 2023 3:44 PM"
AFC Savings,"COP 2,500,000.00","March 5, 2023 3:46 PM"
AFC Savings,"COP 2,500,000.00","March 5, 2023 5:40 PM"
AFC Savings,"COP 2,500,000.00","April 26, 2023 2:28 AM"
AFC Savings,"COP 2,500,000.00","June 26, 2023 12:37 PM"
AFC Savings,"COP 2,500,000.00","June 26, 2023 12:37 PM"
AFC Savings,"COP 2,500,000.00","June 26, 2023 12:53 PM"
AFC Savings,"COP 2,500,000.00","August 26, 2023 6:37 PM"
AFC Savings,"COP 2,500,000.00","September 29, 2023 12:55 AM"
AFC Savings,"COP 2,500,000.00","November 21, 2023 9:59 AM"
AFC Savings,"COP 2,500,000.00","November 24, 2023 7:51 AM"
AFC Savings,"COP 2,500,000.00","December 20, 2023 1:12 AM"
AFC Savings,"COP 2,500,000.00","January 24, 2024 5:42 AM"
AFC Savings,"COP 2,500,000.00","February 24, 2024 7:34 AM"
AFC Savings,"COP 2,500,000.00","March 24, 2024 6:12 AM"
AFC Savings,"COP 2,500,000.00","April 24, 2024 5:00 AM"
AFC Savings,"COP 2,500,000.00","May 24, 2024 7:29 AM"
AFC Savings,"COP 2,500,000.00","June 24, 2024 6:32 AM"
AFC Savings,"COP 2,500,000.00","July 24, 2024 5:09 AM"
AFC Savings,"COP 2,500,000.00","August 24, 2024 5:46 AM"
AFC Savings,"COP 2,500,000.00","September 24, 2024 7:19 AM"
AFC Savings,"COP 2,500,000.00","October 24, 2024 6:02 AM"
AFC Savings,"COP 2,500,000.00","November 24, 2024 6:25 AM"
AFC Savings,"COP 2,500,000.00","December 24, 2024 5:25 AM"
AFC Savings,"COP 2,500,000.00","January 24, 2025 6:49 AM"
AFC Savings,"COP 2,500,000.00","February 24, 2025 6:55 AM"
AFC Savings,"COP 2,500,000.00","March 24, 2025 7:31 AM"
AFC Savings,"COP 2,500,000.00","April 24, 2025 5:02 AM"
AFC Savings,"COP 2,500,000.00","May 24, 2025 5:02 AM"
AFC Savings,"COP 2,500,000.00","June 24, 2025 5:04 AM"
AFC Savings,"COP 2,500,000.00","July 24, 2025 5:02 AM"
AFC Savings,"COP 2,500,000.00","August 24, 2025 5:01 AM"
AFC Savings,"COP 2,500,000.00","September 24, 2025 5:05 AM"
AFC Savings,"COP 2,500,000.00","October 24, 2025 5:04 AM"
AFC Savings,"COP 2,500,000.00","November 24, 2025 5:29 AM"
AFC Savings,"COP 2,500,000.00","December 24, 2025 5:03 AM"
AFC Savings,"COP 2,500,000.00","January 24, 2026 5:23 AM"
AFC Savings,"COP 2,500,000.00","February 24, 2026 5:15 AM"
AFC Savings,"COP 2,500,000.00","March 24, 2026 5:00 AM"
AFC Savings,"COP 2,500,000.00","April 24, 2026 5:00 AM"
AFC Savings,"COP 2,500,000.00","May 24, 2026 5:01 AM"
AFC Savings,"COP 2,500,000.00","June 24, 2026 5:01 AM"
