Description,Amount,Created Time,Original Date,Type
Lourdes’ English Book,"COP 115,000.00","June 8, 2022 2:13 AM","January 1, 2022",Discretionary
Lourdes’ Friend Birthday Present,"COP 45,000.00","June 8, 2022 2:17 AM","February 1, 2022",Sinking
Pastel De Oro,"COP 31,500.00","June 8, 2022 2:17 AM","February 1, 2022",Discretionary
Popsy,"COP 27,200.00","June 8, 2022 2:18 AM","February 1, 2022",Discretionary
Leave-In Conditioner And Deep Conditioner,"COP 100,000.00","June 8, 2022 2:18 AM","February 1, 2022",Utilities
Dulcerna,"COP 28,000.00","June 8, 2022 2:18 AM","February 1, 2022",Discretionary
Argan Oil,"COP 72,000.00","June 8, 2022 2:20 AM","February 1, 2022",Utilities
Mr. Bono,"COP 6,000.00","June 8, 2022 2:20 AM","February 1, 2022",Discretionary
Pastel De Oro,"COP 35,000.00","June 8, 2022 2:21 AM","February 1, 2022",Discretionary
Fiorella,"COP 20,000.00","June 8, 2022 2:21 AM","February 1, 2022",Discretionary
Whey Protein,"COP 350,000.00","June 8, 2022 2:26 AM","March 1, 2022",Discretionary
Creatine,"COP 150,000.00","June 8, 2022 2:27 AM","March 1, 2022",Utilities
Lourdes’ English Professor,"COP 100,000.00","June 8, 2022 2:29 AM","April 1, 2022",Discretionary
Lourdes’ Apple Watch,"COP 200,000.00","June 8, 2022 2:32 AM","May 1, 2022",Discretionary
Rosita’s Birthday Cake,"COP 50,000.00","June 8, 2022 2:39 AM","May 1, 2022",Sinking
Water Thermos,"COP 14,000.00","June 8, 2022 2:41 AM","May 1, 2022",Utilities
Botero Plaza Photos,"COP 20,000.00","June 8, 2022 2:42 AM","May 1, 2022",Discretionary
Medellin Hotel Minibar,"COP 40,000.00","June 8, 2022 2:43 AM","May 1, 2022",Discretionary
Decathlon T-Shirts,"COP 180,000.00","June 8, 2022 2:44 AM","May 1, 2022",Discretionary
Cash,"COP 300,000.00","June 8, 2022 2:45 AM","May 1, 2022",Discretionary
Nazly’s Donation,"COP 100,000.00","June 11, 2022 6:21 PM","January 1, 2021",Discretionary
Lourdes’ Ideapad,"COP 1,219,000.00","June 11, 2022 6:22 PM","January 1, 2021",Discretionary
iPad Air Case,"COP 58,000.00","June 11, 2022 6:24 PM","February 1, 2021",Short-term
Apple Pencil,"COP 481,063.00","June 11, 2022 6:24 PM","February 1, 2021",Short-term
Lourdes’ Birthday Gift,"COP 310,000.00","June 11, 2022 6:26 PM","February 1, 2021",Sinking
EpoCam,"COP 35,000.00","June 11, 2022 6:30 PM","March 1, 2021",Discretionary
Lenin Chamorro’s Donation,"COP 10,000.00","June 11, 2022 6:30 PM","March 1, 2021",Discretionary
Serfinanza CDT,"COP 30,000,000.00","June 12, 2022 2:01 PM","April 1, 2021",Reitrement
Deep Conditioner,"COP 18,000.00","June 12, 2022 2:02 PM","April 1, 2021",Sinking
iPad Magic Keyboard,"COP 784,000.00","June 12, 2022 2:04 PM","May 1, 2021",Short-term
