Description,Amount,Created Time
Front-Lance,"COP 250,000.00","June 9, 2022 1:57 AM"
Apple Watch,"COP 200,000.00","June 9, 2022 1:57 AM"
Lourdes’ Debt,"COP 500,000.00","June 12, 2022 2:42 PM"
Falabella Gift Card,"COP 100,000.00","June 12, 2022 2:43 PM"
iPhone 8 Plus,"COP 483,000.00","June 12, 2022 2:43 PM"
Lourdes’ Debt,"COP 200,000.00","June 12, 2022 2:43 PM"
Lourdes’ Debt,"COP 500,000.00","June 12, 2022 2:43 PM"
Calao’s Referral Bonus,"COP 1,020,000.00","June 12, 2022 2:43 PM"
Zemoga Extra Hours,"COP 600,000.00","June 12, 2022 2:43 PM"
Samsung J2 core,"COP 170,000.00","June 12, 2022 2:43 PM"
Lourdes’ Debt,"COP 200,000.00","June 12, 2022 2:43 PM"
Lourdes’ Laptop,"COP 284,600.00","June 12, 2022 2:43 PM"
Zemoga Extra Hours,"COP 300,000.00","June 12, 2022 2:43 PM"
iPhone 7,"COP 580,000.00","June 12, 2022 2:43 PM"
Lourdes’ Debt,"COP 200,000.00","June 12, 2022 2:43 PM"
Lourdes’ Debt,"COP 400,000.00","June 12, 2022 2:43 PM"
2020 Zemoga Bonus,"COP 1,500,000.00","June 12, 2022 2:43 PM"
Lourdes’ Debt,"COP 584,000.00","June 12, 2022 2:43 PM"
Mom’s Debt,"COP 256,000.00","June 12, 2022 2:51 PM"
Liquidation,"COP 19,865,900.00","June 12, 2022 5:10 PM"
Lourdes’ Car Crash,"COP 150,000.00","June 12, 2022 8:10 PM"
Lourdes’ Car Crash,"COP 150,000.00","June 12, 2022 8:11 PM"
Rosita’s CDT,"COP 9,000,000.00","June 12, 2022 8:13 PM"
Lourdes’ Trainer Loan,"COP 200,000.00","July 2, 2022 2:31 PM"
Lourdes’ Car Crash,"COP 150,000.00","July 31, 2022 5:18 PM"
Lourde’s Trainer Loan,"COP 100,000.00","July 31, 2022 5:26 PM"
Lourdes’ Car Crash,"COP 150,000.00","July 31, 2022 5:38 PM"
Lourdes' Car Crash,"COP 150,000.00","August 14, 2022 11:43 PM"
Aporte de Lourdes (La pepita),"COP 50,000.00","August 15, 2022 1:02 AM"
Valentina’s Loan,"COP 350,000.00","August 27, 2022 2:52 AM"
Lourdes’ Car Crash,"COP 150,000.00","August 27, 2022 1:34 PM"
Lourdes’ Trainer (July),"COP 200,000.00","August 29, 2022 9:33 PM"
Uber a la Matriarca,"COP 9,800.00","September 1, 2022 2:01 AM"
TuPlus,"COP 45,000.00","September 24, 2022 11:42 PM"
Matriarca Amor y Amistad,"COP 78,000.00","October 2, 2022 5:02 PM"
Lourdes’ Coach,"COP 80,000.00","October 2, 2022 5:02 PM"
Cumpleaños de la mamá de Lourdes,"COP 130,000.00","October 2, 2022 5:03 PM"
Magia Café,"COP 25,000.00","October 2, 2022 5:03 PM"
"Pepsi, Galletas De Miniso, Agua Y Diva: Mama y Hermana","COP 58,000.00","October 16, 2022 4:25 AM"
RappiFavores,"COP 30,000.00","November 10, 2022 4:48 PM"
DirectTV (1/2),"COP 25,000.00","November 22, 2022 2:03 AM"
Nevera,"COP 7,450,000.00","November 26, 2022 3:12 AM"
CDT,"COP 2,000,000.00","December 2, 2022 10:15 PM"
7' Burguers,"COP 120,000.00","December 7, 2022 11:50 PM"
Prestamo De Mudanza,"COP 550,000.00","December 11, 2022 12:05 AM"
Cover BomBim,"COP 60,000.00","December 18, 2022 2:09 AM"
Amor ayer dio $214 + $16 uber es $230 pensaba en poner la mitad ósea $115 como ya puse el uber te pasaría $100 pero tú me dijiste que pondrías el pan? Si es así te paso $78 agree? 🙈,"COP 78,000.00","December 24, 2022 4:21 PM"
Paneton para Jorge Amaya,"COP 20,000.00","December 24, 2022 4:55 PM"
Venta laptop,"COP 700,000.00","December 27, 2022 12:19 AM"
Diferencia con mercado de D1,"COP 59,000.00","April 2, 2023 10:12 PM"
Bono,"COP 8,630,000.00","April 26, 2023 2:22 AM"
Porthos,"COP 50,000.00","June 24, 2023 8:43 PM"
Prepaid Card Withdrawal,"COP 3,400,000.00","January 10, 2025 1:29 AM"
Sold Old MacBook,"COP 800,000.00","January 10, 2025 1:30 AM"
Sold Old iPad and Its Gadgets,"COP 1,900,000.00","January 10, 2025 1:32 AM"
CDT,"COP 4,300,000.00","January 10, 2025 1:33 AM"
Andres,"COP 1,000,000.00","May 6, 2025 4:05 AM"
