Job Title,Company,Current,Monthly Gross Salary
Web Developer,TICOM S.A,No,"COP 1,200,000.00"
Junior,Ideaware,No,"COP 2,600,000.00"
Software Developer,NativApps,No,"COP 1,600,000.00"
Mid,Ideaware,No,"COP 3,600,000.00"
Mid 2,Zemoga,No,"COP 6,000,000.00"
Mid 3,Zemoga,No,"COP 8,500,000.00"
Mid 3,Zemoga,No,"COP 7,500,000.00"
Senior 1,EPAM Anywhere,No,"COP 18,000,000.00"
Senior 1,Zemoga,No,"COP 13,000,000.00"
Junior,FullStack Labs,No,"COP 2,100,000.00"
Senior 1,Zemoga,No,"COP 15,100,000.00"
Senior 1,Zemoga,No,"COP 16,900,000.00"
