Description,Buy Rate,Created Time,Destination Amount,Original Date
May USD Savings,"COP 3,879.00","June 11, 2022 12:59 PM",$500.00,"May 1, 2022"
June USD Savings,"COP 3,825.00","June 11, 2022 1:00 PM","$1,307.00",
Initial Deposit,"COP 3,780.00","June 11, 2022 1:15 PM","$5,000.00","April 1, 2022"
Physical Dollars,"COP 3,500.00","June 12, 2022 3:32 PM",$500.00,"August 1, 2021"
Dad’s USD Savings,"COP 4,076.80","July 2, 2022 2:33 PM","$7,359.15",
June USD Savings,"COP 4,084.00","July 2, 2022 2:33 PM","$1,015.00",
June USD Savings,"COP 4,185.00","July 2, 2022 2:36 PM",$500.00,
July USD Savings,"COP 4,484.00","July 31, 2022 5:29 PM",$500.00,
Dad’s USD Savings,"COP 4,438.00","August 8, 2022 1:46 PM","$2,255.00",
August USD Savings,"COP 4,416.00","September 5, 2022 7:08 PM","$2,000.00",
September USD Savings,"COP 4,567.00","September 26, 2022 8:47 PM","$1,500.00",
October USD Savings,"COP 4,865.00","October 30, 2022 4:27 PM","$1,186.00",
July USD Savings,"COP 3,999.00","July 26, 2023 1:16 AM","$1,000.00",
To Dad,"COP 4,178.00","June 30, 2024 6:10 PM","-$9,614.00",
