Name,Status
Create Project Scaffolder,In Progress
Create Project Starter Kit,Ready To Start
Fix My Sleeping Schedule,Ready To Start
Create a Routine For Learning Everything And Anything,Ready To Start
Deep Dive Into React Latest Docs,Ready To Start
Buy New Weighted Belt,Ready To Start
Learn How To Cook a Good Fried Salad,Ready To Start
Create Assistant Invoker With OpenAI,Ready To Start
Create Finance Reporter,Ready To Start
Create Agenda Reporter,Ready To Start
Create Coding Assistant,Ready To Start
Create Water Reminder Automation,Ready To Start
Europe Travel 2024,Done
Improve Notion Workspaces,Done
Create a Routine For Learning Everything And Anything,Ready To Start
