Name
David Kourshid
Yehuda Katz
Adam Wathan
Sukima
Kent C. Dodds
Kyle Shelvin
Jelmer
Hillel
DHH
Tomasz Lakomy
Justin Falcone
Ryan Florence
Heliton Nordt
Khalil Stemler
Jamie Kyle
Luca Mattels
Well Paid Geek
Robert Martin
Mark Dalgleish
Dan Abramov
Andrew Clark
Craig J. Bass
Cassio Zen
Sarah Dayan
Jon Lunman
Gary Bernhardt
Anonymous
Cory House
Obinna Ekwuno
Matt Pocock
Enrico Polanski
Phi
Juan D Jara
Truong Hoang Dung
Jonathan Kent
Daniel Rhodes
Harry Brundage
Stay Saasy
Malte Ubl
Steven Salka
wuchangming
Stas Ivanov
Martijn Faassen
Ravirajn
Paulus Esterhazy
Chris C.
Lukindo Mbuli
Oliver Ash
Oshino Shinobu
Oshino Meme
Koyomi Araragi
Aoi Sena
Sócrates (Peaceful Warrior)
Archer
Kaito Yashio
Mitsuhiko Nagafukada
Akiho Senomiya
Kenichiro Senomiya
Misaki Senomiya
Subaru Hidaka
Milla Maxwell
Gaius
Jude Mathis
Soichiro Kuzuki
Carlos Lobo
Robert Aguilera
Monica Lent
Garran Means
Ian Cooper
Carlos Villuendas
Nir Kaufman
Jeff Atwood
Mark Erikson
Tan Li Hau
Chris Coyer
Edo Scalafiotti
Hillel Wayne
Derick Bailey
Ben Halpern
Guillermo Rauch
Marco Botto
Ban Yasuji
Takeshi Shinjo
Katsuko Momose
Nono Kurusu
Takuru Miyashiro
Mio Kunosato
Serika Onoe
Narrator
Hinae Arimura
Hana Kazuki
Alvin
Rowen Ilbert
Elize Lutus
Teepo
Yamazoe Uki
Elizabeth Filips
Okabe Rintaro
Nishijou Takumi
Alan Kay
life
Takumi Nishijou
Yua Kusonoki
Rimi Sakihata
Crafsdwarf
Jack Rusher
Justing Sung
Kurisu Makise
Monaito
Suzuha Amane
Yuugo Tennouji
Shogun
Shiina Mayuri
Itaru Hashida
Rich Harris
Ayase Kishimoto
Issei Hatano
Orihara Kozue
SirHamnet
lobn
Spyair
Mai MoneyMai-d
Tiago Forte
Alexis Leskinen
Hiyajo Maho
Aoi Todo
Piccolo
Kiryu Moeka
Amadeus Kurisu
Shiina Kagari
Kame-Sen'nin
Might Guy
Junna Daitoku
Urushibara Luka
Rumiho Akiha
Judy Reyes
Piccolo
