Name,URL
Software Estimation Is A Losing Game,https://rclayton.silvrback.com/software-estimation-is-a-losing-game
How To Estimate In Software Teams,https://m.coderdan.co/how-to-estimate-in-software-teams-71c6b4a799b1
Why Fixed Bids Are Bad For Clients Too,https://thoughtbot.com/blog/why-fixed-bids-are-bad-for-clients-too
Front-End JavaScript Single Page Application Architecture,https://marcobotto.com/blog/frontend-javascript-single-page-application-architecture
CSS Architecture For Modern Web Applications,https://www.madebymike.com.au/writing/css-architecture-for-modern-web-applications/
React Basic,https://github.com/reactjs/react-basic
See Where Projects Really Stand With The Hill Chart,https://m.signalvnoise.com/new-in-basecamp--see-where-projects-really-stand-with-the-hill-chart/
Why Software Projects Tend To Fail,https://www.codeproject.com/Articles/20488/Why-Software-Projects-Tend-to-Fail
The Cone Of Uncertainty,https://www.construx.com/books/the-cone-of-uncertainty/
Why we're leaving the cloud,https://world.hey.com/dhh/why-we-re-leaving-the-cloud-654b47e0
The Web’s Next Transition | Epic Web Dev by Kent C. Dodds,https://www.epicweb.dev/the-webs-next-transition
"Need it take 7,500 people to run Twitter?",https://world.hey.com/dhh/need-it-take-7-500-people-to-run-twitter-a8cb36a6
Badass Course Builders,https://badass.dev/podcast/badass.dev
How to remove Java from JavaScript | Tolgee,https://tolgee.io/blog/closure-objects/
Visual Second Brain,https://twitter.com/victorianoi/status/1583262455953641472?s=12&t=9ceZ4VN3gLUWBPWAO7Sqkg
Objects In React,https://twitter.com/buildsghost/status/1584631870431834113?s=12&t=nQM71-r2ouiz0J6pWMYueA
CSS In JS Upgrade Guide,https://twitter.com/dan_abramov/status/1584835028986793984?s=12&t=nQM71-r2ouiz0J6pWMYueA
"Classes, Complexity, and Functional Programming",https://kentcdodds.com/blog/classes-complexity-and-functional-programming
Improving The Usability Of Your Modules,https://kentcdodds.com/blog/improving-the-usability-of-your-modules
Start small,https://twitter.com/chriskrycho/status/1585103933701136384?s=12&t=4XRXJYd7IgMMQtm8Dgv-XQ
Dan Abramov's Thoughts On Next 13,https://twitter.com/dan_abramov/status/1585076899126345728?s=12&t=6Nl8STcX52JT3e8KMqLfcw
Fetch In Render,https://twitter.com/davidkpiano/status/1585982757603512320?s=12&t=3LD9hI1hLNkOGx8G6ybmVg
ByteByteGo on LinkedIn: Proxies are everywhere. Why is nginx called a reverse proxy? Is the | 14 comments,https://www.linkedin.com/posts/bytebytego_proxies-are-everywhere-why-is-nginx-called-activity-6991269348858298368-WSCl?utm_source=share&utm_medium=member_ios
Context in RSC,https://twitter.com/sebmarkbage/status/1587615484870098945?s=12&t=Ta6ZRGHaqCPsVxF_sCdf-g
The Good Parts of AWS,https://dvassallo.gumroad.com/l/aws-good-parts?rdt_cid=4305233696434229700
Permissions Lib,https://twitter.com/alexdotjs/status/1588205093576675328?s=12&t=RayiTjjiO56i-yFrCxN1yQ
"GitHub - framer/motion: Open source, production-ready animation and gesture library for React",https://github.com/framer/motion
Software Eras,https://twitter.com/swyx/status/1520852192059486208?s=12&t=xnC0dLz_QYruHoo3I3SCbA
Addy Osmani on LinkedIn: #softwareengineering #productivity #leaders | 23 comments,https://www.linkedin.com/feed/update/urn:li:activity:6993963825087602688?utm_source=share&utm_medium=member_ios
Html fragments,https://twitter.com/chrisshank23/status/1589670357510008832?s=12&t=fv7UN2G0CPILO85HFCPRTw
Tree-shake,https://twitter.com/tmcw/status/1589736295907016705?s=12&t=fv7UN2G0CPILO85HFCPRTw
transitions api,https://twitter.com/charca/status/1594725772148752391?s=12&t=iTDDJPMSxXbVTkJeYHFxrA
Headless is View Models,https://twitter.com/_developit/status/1595617235275390976?s=12&t=rnfeSevZC0sK8R1ESs1J0w
The State Of Boredom,
New Units,https://twitter.com/jensimmons/status/1597711673804349440?s=12&t=5SFWDJ3YxLpVmMfUdfNhjg
Staff Engineer,https://twitter.com/swizec/status/1591570556461060096?s=12&t=za3fp9aYQi6ITrsRUMYesQ
State Machines On The Edge,https://twitter.com/erikras/status/1592288056778043392?s=12&t=VE_fNlch2G6C1cxeCgtSCg
Solid Routing,https://twitter.com/fredkschott/status/1589662230962147332?s=12&t=-jZZzdGiDWmqgDdElpI8Yg
https://www.youtube.com/watch?v=HEwKs4GbT-E,
,https://twitter.com/mjackson/status/1603788837246750723?s=12&t=kxqJA1OC_DquxYh3JATVnA
Page title...,https://twitter.com/thdxr/status/1604275092401397762?s=12&t=FlVfCTrBpNmbXitStfpAHw
RiteWay,
Browsers,https://twitter.com/thepracticaldev/status/1607656530207248384?s=12&t=lMpQQg6WKCqbt64_DQAJ-Q
Recos,https://twitter.com/juansotoivars/status/1607702271701254145?s=12&t=lMpQQg6WKCqbt64_DQAJ-Q
Understanding React,https://twitter.com/anthonypalicea/status/1610840495168659456?s=12&t=5eY6TYBpaujq2qnYIQQcbQ
(36) How to Organise your Life - Building a Second Brain - YouTube,https://www.youtube.com/watch?v=K-ssUVyfn5g
"(43) Steins;Gate: The Anime About Time, Chaos and Consequences - YouTube",https://www.youtube.com/watch?v=D-2kfk4dK8E
What is Contract Testing & How is it Used? | Pactflow,https://pactflow.io/blog/what-is-contract-testing/
Visual Rebuilding,https://x.com/zijiaoc/status/1660470518569639937?s=61&t=5cwsc3Igsf4GHcyunqYfyg
Nervous System Manipulation By Electromagnetic Fields From Monitors,https://patentimages.storage.googleapis.com/e2/4e/f9/3d4d57e738f8c2/US6506148.pdf
Hendricus,https://patents.google.com/patent/US6506148B2/en
(117) OFF TOPIC | LA SOLEDAD - YouTube,https://www.youtube.com/watch?v=ndStVES3kbY
Bekk Articles,https://www.bekk.christmas/category/react
A Case Study Of Client Side Rendering,https://github.com/theninthsky/client-side-rendering
(250) Majora's Mask: The Ultimate Trauma Narrative - YouTube,https://www.youtube.com/watch?v=lX_eSg6NWu4
(32) The Biggest Decision for a Sorcerer - YouTube,https://www.youtube.com/watch?v=_LOpLRxUTHc
(32) The Biggest Decision for a Sorcerer - YouTube,https://www.youtube.com/watch?v=_LOpLRxUTHc
https://youtube.com/watch?v=nF2N57bnssk&si=LIs1UKX4urbhar4A,
"Good Abstraction, Bad Abstraction",https://frontendatscale.com/issues/2/
Modules Should Be Deep,https://medium.com/@nathan.fooo/4-notes-modules-should-be-deep-ba5671c4288c
Your Battle Is My Battle,https://www.youtube.com/watch?v=DoxZEu1bIn4
The future of rendering in React,https://prateeksurana.me/blog/future-of-rendering-in-react/
Sebastian Markbage: Minimal API Surface Area | JSConf EU 2014 - YouTube,https://www.youtube.com/watch?v=4anAwXYqLG8
Empieza a crear notas para usar el resto de tu vida,https://www.youtube.com/watch?v=89e1lLh6tDA
Folders are dead: Inside Anne-Laure’s Second Brain,https://www.youtube.com/watch?v=gXYj8UNmy48
Dejo Notion...,https://www.youtube.com/watch?v=QLPmAr-3h_E
Dejo Notion...,https://www.youtube.com/watch?v=QLPmAr-3h_E
"HUGE Announcements: Notion Mail + 3 Big New Features: Forms, Layouts & More! - YouTube",https://www.youtube.com/watch?v=uaJFr534IDE
Stop Switching: Why New Apps Won’t Fix Your Productivity Problems - YouTube,https://www.youtube.com/watch?v=JFjq7-CD6C8
Introduction | Pact Docs,https://docs.pact.io/
The Fu Master Productivity Checklist using Things3 - Productive with a Purpose,https://productivewithapurpose.com/2019/05/21/the-fu-master-productivity-checklist-using-things3/#Today_Anytime
(31) Steins;Gate Re:Boot Announced for 2025 — What It Means - YouTube,https://www.youtube.com/watch?v=ae2cD2Sw_BA
(31) Outperform Every Area Of Your Life (+2h Animation) - YouTube,https://www.youtube.com/watch?v=S7RFQfClRF4
"(31) Bocchi the Rock - ""Guitar, Loneliness and Blue Planet"" - ver. ESPAÑOL - Kotoband (feat. ‪@mistym21‬) - YouTube",https://www.youtube.com/watch?v=pwdUryIIqbg
The Men That Don’t Fit In - YouTube,https://m.youtube.com/watch?v=0ttVD7TSwnM
El MegaInstinto de Vegeta,https://youtu.be/RNtgJMocKuo
Valor en hablar sin miedo,https://x.com/pbarbieri/status/1852347402046337442?s=12&t=LjVOoN-U7TUcGJ29Lf6Q0w
Soumya Ranjan Padhy on LinkedIn: 🔍 Creating a Custom Screen Size Hook with Tailwind…,https://www.linkedin.com/posts/soumya-ranjan-padhy-70aaa814a_creating-a-custom-screen-size-hook-with-activity-7257926825870262273-XscR?utm_source=share&utm_medium=member_ios
(152) Summertime Record || BOTW [ORIGINAL] - YouTube,https://www.youtube.com/watch?v=1hUkEVej0qU&list=RD1hUkEVej0qU&start_radio=1
(190) 【ゼルダの伝説】時の勇者で「ツキヨミ」【手書きPV】(中文字幕) - YouTube,https://www.youtube.com/watch?v=wnhoAsWjdu4&list=RDwnhoAsWjdu4&start_radio=1
This is A Game Changer,https://www.youtube.com/shorts/M-VU0fLjIUU
