Description,Amount,Amount In USD,Created time
C&T Salary,"COP 7,770,000.00",,"February 25, 2024 3:39 PM"
Sodexo Card,"COP 400,000.00",,"February 25, 2024 3:39 PM"
Pills,"COP 50,000.00",,"February 25, 2024 3:39 PM"
English Professor,"COP 670,000.00",,"February 25, 2024 3:39 PM"
Galleta's Quota,"COP 100,000.00",,"February 25, 2024 3:39 PM"
Mom's Health Insurance,"COP 165,000.00",,"February 25, 2024 3:40 PM"
Mom's Phone Plan,"COP 40,000.00",,"February 25, 2024 3:40 PM"
"Amazon + lasagna@lolo ","COP 100,000.00",,"February 25, 2024 9:04 PM"
"Bonus@hatchworks ","COP 150,000.00",,"February 25, 2024 9:39 PM"
gym @vale,"COP 122,000.00",,"March 3, 2024 8:20 PM"
CI&T Salary,"COP 7,770,000.00",,"March 10, 2024 3:17 AM"
Mom's Phone Plan,"COP 40,000.00",,"March 10, 2024 3:25 AM"
Mom's Health Insurance,"COP 165,000.00",,"March 10, 2024 3:25 AM"
Galleta's Quota,"COP 100,000.00",,"March 10, 2024 3:25 AM"
English Professor,"COP 670,000.00",,"March 10, 2024 3:25 AM"
Pills,"COP 50,000.00",,"March 10, 2024 3:25 AM"
Sodexo Card,"COP 400,000.00",,"March 10, 2024 3:25 AM"
Virtual Inversion,"COP 1,500,000.00",,"March 10, 2024 4:15 AM"
income @vale,"COP 500,000.00",,"March 19, 2024 11:25 PM"
income @lolo,"COP 64,000.00",,"March 19, 2024 11:47 PM"
English Professor,"COP 670,000.00",,"April 1, 2024 5:07 AM"
Pills,"COP 50,000.00",,"April 1, 2024 5:27 AM"
Galleta's Quota,"COP 100,000.00",,"April 1, 2024 5:39 AM"
Valentina's Quota,"COP 1,000,000.00",,"April 1, 2024 5:46 AM"
Mom's Health Insurance,"COP 165,000.00",,"April 1, 2024 6:01 AM"
CI&T Salary,"COP 7,770,000.00",,"April 1, 2024 6:17 AM"
Mom's Phone Plan,"COP 40,000.00",,"April 1, 2024 7:25 AM"
Sodexo Card,"COP 400,000.00",,"April 1, 2024 7:38 AM"
Jpom debt,"COP 70,000.00",,"April 27, 2024 6:52 PM"
Valentine's iPhone Quota,"COP 600,000.00",,"May 1, 2024 2:55 AM"
Valentina's iPhone Quota,"COP 1,000,000.00",,"May 1, 2024 2:56 AM"
Valentina's iPhone Quota,"COP 1,000,000.00",,"May 1, 2024 2:56 AM"
Virtual Inversion,"COP 600,000.00",,"May 1, 2024 2:58 AM"
Galleta's Quota,"COP 100,000.00",,"May 1, 2024 5:01 AM"
Pills,"COP 50,000.00",,"May 1, 2024 5:01 AM"
English Professor,"COP 670,000.00",,"May 1, 2024 5:01 AM"
Sodexo Card,"COP 400,000.00",,"May 1, 2024 5:01 AM"
CI&T Salary,"COP 7,770,000.00",,"May 1, 2024 5:01 AM"
Mom's Phone Plan,"COP 40,000.00",,"May 1, 2024 5:01 AM"
Mom's Health Insurance,"COP 165,000.00",,"May 1, 2024 5:01 AM"
Valentina's Quota,"COP 1,000,000.00",,"May 1, 2024 5:01 AM"
Vale Gym,"COP 122,500.00",,"May 2, 2024 2:54 PM"
VariaCode Salary,,"$1,161.00","May 25, 2024 11:14 PM"
VariaCode Setup Bonus,,$400.00,"May 25, 2024 11:16 PM"
"Juanpi ","COP 70,000.00",,"May 31, 2024 6:02 PM"
Mom's Phone Plan,"COP 40,000.00",,"June 1, 2024 5:20 AM"
CI&T Salary,"COP 8,300,000.00",,"June 1, 2024 6:02 AM"
Pills,"COP 50,000.00",,"June 1, 2024 6:03 AM"
English Professor,"COP 670,000.00",,"June 1, 2024 6:09 AM"
Valentina's Quota,"COP 1,000,000.00",,"June 1, 2024 6:35 AM"
Mom's Health Insurance,"COP 165,000.00",,"June 1, 2024 7:04 AM"
Sodexo Card,"COP 400,000.00",,"June 1, 2024 7:20 AM"
Galleta's Quota,"COP 100,000.00",,"June 1, 2024 7:57 AM"
"Movie vale ","COP 50,000.00",,"June 9, 2024 3:09 PM"
"Dinner vale ","COP 20,000.00",,"June 9, 2024 3:09 PM"
