Name,Start Date
Test Drive,"February 25, 2024"
Modest Kirch,"March 1, 2024"
Pretty Planning Game,"April 1, 2024"
Eight Years,"May 1, 2024"
Frozen Mole,"June 1, 2024"
Next-level Sheep,"July 1, 2024"
"Holi ","August 1, 2024"
Cookie,"September 1, 2024"
"Europe ","October 1, 2024"
"Happiness ","November 1, 2024"
Navidad,"December 1, 2024"
"Beginning ","January 1, 2025"
(To Be Named),"February 1, 2025"
(To Be Named),"March 1, 2025"
(To Be Named),"April 1, 2025"
(To Be Named),"May 1, 2025"
(To Be Named),"June 1, 2025"
(To Be Named),"July 1, 2025"
(To Be Named),"August 1, 2025"
(To Be Named),"September 1, 2025"
(To Be Named),"October 1, 2025"
(To Be Named),"November 1, 2025"
(To Be Named),"December 1, 2025"
(To Be Named),"January 1, 2026"
(To Be Named),"February 1, 2026"
(To Be Named),"March 1, 2026"
(To Be Named),"April 1, 2026"
(To Be Named),"May 1, 2026"
(To Be Named),"June 1, 2026"
(To Be Named),"July 1, 2026"
