Name,Fecha,Método de Pago,Precio (COP),Solo Carlos
Chocolatería San Ginés,"September 28, 2024",T. Crédito,"COP 28,238.00",No
Holafly E-SIM,"September 27, 2024",T. Crédito,"COP 272,294.00",Yes
Starbucks Gran Via,"September 28, 2024",T. Crédito,"COP 26,802.00",No
Tierra Opera,"September 28, 2024",T. Crédito,"COP 62,924.00",No
SumUp Jorge Fernando Mu (El Rastro),"September 29, 2024",T. Crédito,"COP 95,724.00",No
Decoam Dcm Socio,"September 29, 2024",T. Crédito,"COP 29,728.00",No
Mercado Futuro,"September 29, 2024",T. Crédito,"COP 31,110.00",No
Alcachofas Fritas S L,"September 29, 2024",T. Crédito,"COP 31,110.00",No
El De San Miguel,"September 29, 2024",T. Crédito,"COP 16,751.00",No
Arzabal,"September 29, 2024",T. Crédito,"COP 172,300.00",No
Día San Miguel,"September 29, 2024",T. Crédito,"COP 9,237.00",No
Montaditos Princesa,"September 29, 2024",T. Crédito,"COP 38,289.00",No
Sugoi Station SL,"September 29, 2024",T. Crédito,"COP 14,864.00",Yes
Yoye Informática,"September 29, 2024",T. Crédito,"COP 38,289.00",Yes
La Dehesa De Santo Domingo,"September 29, 2024",T. Crédito,"COP 53,126.00",No
Cafetería Magerit,"September 29, 2024",T. Crédito,"COP 148,372.00",No
Tiendra Madrid Mayor,"September 29, 2024",T. Crédito,"COP 14,837.00",No
Fototour Rmcf,"September 29, 2024",T. Crédito,"COP 71,793.00",Yes
Malvon Bernabeu,"September 29, 2024",T. Crédito,"COP 34,970.00",Yes
Five Guys Spain SL,"September 29, 2024",T. Crédito,"COP 117,501.00",No
Riu P Espana tickets Entr,"October 1, 2024",T. Crédito,"COP 47,614.00",No
Mundo Anna,"October 1, 2024",T. Crédito,"COP 23,807.00",No
Sugoi Station Sl,"October 1, 2024",T. Crédito,"COP 47,376.00",Yes
Tiendra Madrid Mayor,"October 1, 2024",T. Crédito,"COP 153,080.00",No
Toto E Peppino,"October 1, 2024",T. Crédito,"COP 176,173.00",No
Primark,"October 1, 2024",T. Crédito,"COP 66,660.00",Yes
Beer Station,"October 1, 2024",T. Crédito,"COP 114,036.00",No
Taxi,"October 1, 2024",T. Crédito,"COP 156,758.00",No
Bar Ducale,"October 2, 2024",T. Crédito,"COP 23,751.00",No
Rossopomodoro,"October 2, 2024",T. Crédito,"COP 208,061.00",Yes
Me Ga One Sn,"October 2, 2024",T. Crédito,"COP 45,373.00",No
Pasticceria Italo Divodi,"October 2, 2024",T. Crédito,"COP 62,090.00",No
Librería Acqua Alta D,"October 3, 2024",T. Crédito,"COP 76,418.00",No
Pasta Espresso Go,"October 3, 2024",T. Crédito,"COP 76,418.00",No
Bd Souvenir Di Abu Musa,"October 4, 2024",T. Crédito,"COP 94,796.00",No
R Culto Chiosco,"October 4, 2024",T. Crédito,"COP 117,547.00",No
Eu Tourism Srls,"October 4, 2024",T. Crédito,"COP 85,316.00",No
Ristorante Pizzeria Tiziano,"October 4, 2024",T. Crédito,"COP 184,853.00",No
Bibliobar,"October 5, 2024",T. Crédito,"COP 21,275.00",No
Caffe Roma Sas,"October 5, 2024",T. Crédito,"COP 23,639.00",No
Sun,"October 5, 2024",T. Crédito,"COP 104,012.00",No
Mc Donald,"October 6, 2024",T. Crédito,"COP 32,149.00",No
Ristorante Venerina,"October 6, 2024",T. Crédito,"COP 179,657.00",Yes
Cremi Srl,"October 6, 2024",T. Crédito,"COP 23,591.00",No
Ristorante Julie S,"October 6, 2024",T. Crédito,"COP 108,749.00",Yes
