Nombre,1 EUR a COP,Fecha,Payment Method,Precio (EUR),Unidad
Taxi → Aeropuerto (Barranquilla),"COP 4,566.00","September 27, 2024",Efectivo,€8.76,1
Taxi → Hotel (Madrid),"COP 4,566.00","September 28, 2024",Efectivo,€30.00,1
Desayuno,"COP 4,566.00","September 28, 2024","Efectivo, T. Crédito",€8.00,2
HolaFly Sim,"COP 4,566.00","September 28, 2024",T. Crédito,€60.00,2
San Gines,"COP 4,566.00","September 28, 2024","Efectivo, T. Crédito",€12.00,2
Cena,"COP 4,566.00","September 28, 2024","Efectivo, T. Crédito",€15.00,2
Desayuno,"COP 4,566.00","September 29, 2024","Efectivo, T. Crédito",€8.00,2
Mercado de San Miguel,"COP 4,566.00","September 29, 2024","Efectivo, T. Crédito",€20.00,2
Compras en El Rastro,"COP 4,566.00","September 29, 2024",Efectivo,€30.00,2
Snack,"COP 4,566.00","September 29, 2024","Efectivo, T. Crédito",€10.00,2
Cena,"COP 4,566.00","September 29, 2024","Efectivo, T. Crédito",€15.00,2
Desayuno,"COP 4,566.00","September 30, 2024","Efectivo, T. Crédito",€8.00,2
Almuerzo,"COP 4,566.00","September 30, 2024","Efectivo, T. Crédito",€15.00,2
Snack,"COP 4,566.00","September 30, 2024","Efectivo, T. Crédito",€10.00,2
Cena,"COP 4,566.00","September 30, 2024","Efectivo, T. Crédito",€15.00,2
Propina del tour diurno por Madrid,"COP 4,566.00","September 28, 2024",Efectivo,€10.00,2
Propina del tour nocturno por Madrid,"COP 4,566.00","September 30, 2024",Efectivo,€10.00,2
Desayuno,"COP 4,566.00","October 1, 2024","Efectivo, T. Crédito",€8.00,2
Almuerzo,"COP 4,566.00","October 1, 2024","Efectivo, T. Crédito",€20.00,2
Entrada a Riu Rooftop,"COP 4,566.00","October 1, 2024","Efectivo, T. Crédito",€5.00,2
Cena,"COP 4,566.00","October 1, 2024","Efectivo, T. Crédito",€15.00,2
Taxi → Aeropuerto (Venecia),"COP 4,566.00","October 2, 2024",Efectivo,€30.00,1
Tiquete del Taxi Acuático (Ida - Vuelta),"COP 4,566.00","October 2, 2024","Efectivo, T. Crédito",€18.00,2
Snack@OsterialAlSquero,"COP 4,566.00","October 2, 2024","Efectivo, T. Crédito",€15.00,2
Dinner,"COP 4,566.00","October 2, 2024","Efectivo, T. Crédito",€15.00,2
Desayuno,"COP 4,566.00","October 3, 2024","Efectivo, T. Crédito",€10.00,2
Gondola,"COP 4,566.00","October 3, 2024",Efectivo,€80.00,1
Almuerzo,"COP 4,566.00","October 3, 2024","Efectivo, T. Crédito",€15.00,2
Cena,"COP 4,560.00","October 3, 2024","Efectivo, T. Crédito",€15.00,2
Desayuno,"COP 4,566.00","October 4, 2024","Efectivo, T. Crédito",€10.00,2
Bus → Hotel (Rome),"COP 4,566.00","October 4, 2024","Efectivo, T. Crédito",€10.00,2
Cena,"COP 4,566.00","October 4, 2024","Efectivo, T. Crédito",€15.00,2
Lavandería,"COP 4,566.00","October 4, 2024","Efectivo, T. Crédito",€20.00,1
Tiquetes de tren** (Revisar cantidad),"COP 4,566.00","October 4, 2024","Efectivo, T. Crédito",€1.50,6
Desayuno,"COP 4,566.00","October 5, 2024","Efectivo, T. Crédito",€8.00,2
Tiquete de metro Barberini → Ottaviano,"COP 4,566.00","October 6, 2024","Efectivo, T. Crédito",€1.50,2
Tiquete de metro Termini → Vaticano,"COP 4,566.00","October 5, 2024","Efectivo, T. Crédito",€1.50,2
Almuerzo,"COP 4,566.00","October 4, 2024","Efectivo, T. Crédito",€15.00,2
Snack,"COP 4,566.00","October 5, 2024","Efectivo, T. Crédito",€10.00,4
Almuerzo@Che Pastas,"COP 4,566.00","October 5, 2024","Efectivo, T. Crédito",€15.00,2
Cena,"COP 4,566.00","October 5, 2024","Efectivo, T. Crédito",€15.00,2
Desayuno,"COP 4,566.00","October 6, 2024","Efectivo, T. Crédito",€10.00,2
Tiquete de metro Termini → Barberini,"COP 4,566.00","October 6, 2024","Efectivo, T. Crédito",€1.50,2
Almuerzo,"COP 4,566.00","October 6, 2024","Efectivo, T. Crédito",€10.00,2
Cena,"COP 4,566.00","October 6, 2024","Efectivo, T. Crédito",€15.00,2
Tiquete de metro Termini → Colosseo,"COP 4,566.00","October 7, 2024","Efectivo, T. Crédito",€1.50,2
Snack,"COP 4,566.00","October 7, 2024","Efectivo, T. Crédito",€10.00,4
Cena,"COP 4,566.00","October 7, 2024","Efectivo, T. Crédito",€15.00,2
Almuerzo,"COP 4,566.00","October 7, 2024","Efectivo, T. Crédito",€15.00,2
Desayuno,"COP 4,566.00","October 8, 2024","Efectivo, T. Crédito",€10.00,2
Almuerzo,"COP 4,566.00","October 8, 2024","Efectivo, T. Crédito",€15.00,2
Snack,"COP 4,566.00","October 8, 2024","Efectivo, T. Crédito",€10.00,2
Cena,"COP 4,566.00","October 8, 2024","Efectivo, T. Crédito",€15.00,2
Taxi → Aeropuerto (Roma),"COP 4,566.00","October 9, 2024","Efectivo, T. Crédito",€30.00,1
Almuerzo,"COP 4,566.00","October 9, 2024","Efectivo, T. Crédito",€15.00,2
Cena,"COP 4,566.00","October 9, 2024","Efectivo, T. Crédito",€15.00,2
Desayuno,"COP 4,566.00","October 9, 2024","Efectivo, T. Crédito",€10.00,2
Snack,"COP 4,566.00","October 9, 2024","Efectivo, T. Crédito",€10.00,2
Desayuno,"COP 4,566.00","October 10, 2024","Efectivo, T. Crédito",€10.00,2
Tiquete de metro Charles de Gaulle - Etoile → Hôtel de Ville,"COP 4,566.00","October 10, 2024","Efectivo, T. Crédito",€2.15,2
Almuerzo,"COP 4,566.00","October 10, 2024","Efectivo, T. Crédito",€15.00,2
Snack,"COP 4,566.00","October 10, 2024","Efectivo, T. Crédito",€10.00,2
Cena,"COP 4,566.00","October 10, 2024","Efectivo, T. Crédito",€15.00,2
Almuerzo para el siguiente día siguiente,"COP 4,566.00","October 10, 2024","Efectivo, T. Crédito",€15.00,2
Desayuno,"COP 4,566.00","October 11, 2024","Efectivo, T. Crédito",€10.00,2
Tiquete de metro Pont D’Alma → Versailles Chateau,"COP 4,566.00","October 11, 2024","Efectivo, T. Crédito",€7.00,2
Snack,"COP 4,566.00","October 11, 2024","Efectivo, T. Crédito",€10.00,2
Tiquete del Rio Sena,"COP 4,566.00","October 11, 2024","Efectivo, T. Crédito",€15.00,2
Desayuno,"COP 4,566.00","October 12, 2024","Efectivo, T. Crédito",€10.00,2
Tiquete de metro Charles de Gaulle - Etoile → Palais Royal Museé du Louvre,"COP 4,566.00","October 12, 2024","Efectivo, T. Crédito",€2.15,2
Almuerzo,"COP 4,566.00","October 12, 2024","Efectivo, T. Crédito",€15.00,2
Snack,"COP 4,566.00","October 12, 2024","Efectivo, T. Crédito",€10.00,2
Salida con Sindy,"COP 4,566.00","October 12, 2024","Efectivo, T. Crédito",€30.00,2
Desayuno,"COP 4,566.00","October 13, 2024","Efectivo, T. Crédito",€10.00,2
Tiquete de metro Charles de Gaulle - Etoile → Pigalle → Abbesses,"COP 4,566.00","October 13, 2024","Efectivo, T. Crédito",€2.15,2
Almuerzo,"COP 4,566.00","October 13, 2024","Efectivo, T. Crédito",€15.00,2
Snack,"COP 4,566.00","October 13, 2024","Efectivo, T. Crédito",€1.00,2
Cena,"COP 4,566.00","October 13, 2024","Efectivo, T. Crédito",€15.00,2
