Name,Fecha,Método de Pago,Precio (COP)
Montaditos,"September 29, 2024",T. Crédito,"COP 9,572.00"
Majid C. La Dolorosa,"September 29, 2024",T. Crédito,"COP 49,663.00"
Tienda Alimentación C.,"September 29, 2024",T. Crédito,"COP 8,136.00"
Souvenirs Contreras,"September 30, 2024",T. Crédito,"COP 4,995.00"
Starbucks,"October 1, 2024",T. Crédito,"COP 25,283.00"
Sugoi Station,"October 1, 2024",T. Crédito,"COP 24,226.00"
Mundo Anna C. Felipe III,"October 1, 2024",T. Crédito,"COP 47,183.00"
Regalos Souvenir,"October 1, 2024",T. Crédito,"COP 49,828.00"
Tienda Madrid Mayor (Turrones),"October 1, 2024",T. Crédito,"COP 132,129.00"
Primark,"October 1, 2024",T. Crédito,"COP 42,852.00"
Primark,"October 1, 2024",T. Crédito,"COP 270,449.00"
APT. RIC. Bagagli TVM. (Alilaguna Tickets,"October 2, 2024",T. Crédito,"COP 256,928.00"
Zara,"October 2, 2024",T. Crédito,"COP 109,908.00"
Ferro Simone San Marco,"October 2, 2024",T. Crédito,"COP 47,579.00"
Bar Ducale San Marco,"October 2, 2024",T. Crédito,"COP 9,515.00"
R058 Culto darsena,"October 2, 2024",T. Crédito,"COP 36,636.00"
Aerop. Adolfo Suarez,"October 2, 2024",T. Crédito,"COP 26,882.00"
Pasta Espresso Go Sestiere,"October 3, 2024",T. Crédito,"COP 31,045.00"
Zara,"October 3, 2024",T. Crédito,"COP 190,808.00"
Braccio Carlo Magno Unk,"October 5, 2024",T. Crédito,"COP 23,639.00"
Bibliobar Lungotevere,"October 5, 2024",T. Crédito,"COP 4,727.00"
Termini B Dir Laur Piazza D,"October 5, 2024",T. Crédito,"COP 21,275.00"
Termini B Dir Laur Piazza D,"October 5, 2024",T. Crédito,"COP 21,275.00"
La Foglia Sas Di M E Via D,"October 5, 2024",T. Crédito,"COP 42,550.00"
http://Fe.Ma SRL Viale Vaticano,"October 5, 2024",T. Crédito,"COP 46,805.00"
Caffé Roma Sas Piazza Tr,"October 5, 2024",T. Crédito,"COP 28,366.00"
C.S 2010 S.R.L Via Della C,"October 6, 2024",T. Crédito,"COP 82,737.00"
Tiger Italia 1 SRL PZA D CI,"October 6, 2024",T. Crédito,"COP 15,365.00"
Flaminio 35 Via AlbertFer,"October 6, 2024",T. Crédito,"COP 21,275.00"
Flaminio 35 Via Alberto Fer,"October 6, 2024",T. Crédito,"COP 21,275.00"
