Nombre,Precio (COP),Unidad
Reserva de hotel (Madrid),"COP 2,000,000.00",1
Tiquetes De Roma → Pisa,"COP 158,000.00",2
Tiquetes De Barranquilla ↔ Madrid,"COP 5,500,000.00",2
Reserva de hotel (Paris),"COP 4,235,452.76",1
Reserva de hotel (Roma),"COP 2,942,983.50",1
Free tour diurno (Madrid),"COP 45,660.00",2
Espectáculo de Flamenco (Madrid),"COP 126,000.00",2
Visita guiada por el Palacio Real (Madrid),"COP 137,632.00",2
Free tour nocturno (Madrid),"COP 45,660.00",2
Reserva de hotel (Venecia),"COP 1,693,000.00",1
Bus turístico (Madrid),"COP 131,000.00",2
Tour Coliseo (Roma),"COP 300,467.00",2
Tour nocturno (Paris),"COP 55,881.00",2
Tiquetes de Madrid → Venecia,"COP 1,151,800.00",2
Basílica de San Marcos,"COP 47,311.00",2
Torre del Campanario,"COP 68,816.00",2
Palacio Ducal,"COP 135,000.00",2
Tiquetes de Venecia → Roma,"COP 439,863.00",2
"Tour Capilla Sistina, Museos del Vaticano y Basílica de San Pedro","COP 432,616.00",2
Torre de Pisa,"COP 90,000.00",2
Tiquetes de Roma → Paris,COP 0.00,2
Opera Garnier,"COP 68,500.00",2
Paris Museum Pass,"COP 395,692.00",2
Arc de Triomphe,COP 0.00,2
Saint Chapelle,COP 0.00,2
Conciergerie,COP 0.00,2
Versailles,COP 0.00,2
Museo del Louvre,COP 0.00,2
Panteón,COP 0.00,2
Torre Eiffel,"COP 151,825.00",2
Tour nocturno de Paris,"COP 55,881.00",2
Museo de la armería y tumba de Napoleón,COP 0.00,2
Museo de Grévin,"COP 113,976.00",2
