Name,Brand,Image,Price,Slug
Jamón De Cerdo x20 (400g),Viandé,,"COP 7,690.00",jamon-de-cerdo-viande-400-grs-12000077
Queso Tajado,Latti,,"COP 8,350.00",
Queso Sabanero Tajado (250g),Latti,,"COP 10,990.00",queso-sabanero-tajado-latti-250-g-12000676
Leche Entera (200ml),Latti,,"COP 1,190.00",leche-entera-tetra-pak-latti-200ml-12003216
Queso Parmesano (100g),Latti,,"COP 6,990.00",queso-parmesano-latti-100-g-12000139
Jamón De Pavo (250g),White Holland,,"COP 9,350.00",jamon-de-pavo-white-holland-250-g-12001190
Salchichas Americanas (430g),Big Bob,,"COP 8,990.00",salchicha-perro-americana-big-bob-430-g-12001607
Arepas De Chocolo x 5 (400g),Masmaí,,"COP 3,290.00",arepa-de-chocolo-5-und-masmai-400-grs-12000024
Queso Gouda Tajado (150g),Muenster,,"COP 7,990.00",queso-muenster-o-gouda-tajado-150-g-12002654
Lomitos De Salmón x5 (454g),Pesqueros,,"COP 9,450.00",lomitos-de-salmon-454-g-12004645
Arepas De Huevo x6 (240g),Toastatas,,"COP 8,490.00",arepa-de-huevo-mini-toastatas-6-und-240g-12003554
Empanadas De Carne x12 (420g),Toastatas,,"COP 8,190.00",empanada-con-carne-toastatas-12-und-420-g-12001916
Chuleta De Cerdo,GSF,,"COP 10,390.00",
Café Instantáneo Descafeinado (85g),Viejo Molino,,"COP 9,150.00",cafe-instantaneo-descafeinado-viejo-molino-85-g-12000490
Nachos Crachos (200g),Sabores Mexicanos,,"COP 2,550.00",
Tóstadas De Plátano (80g),Plataitos,,"COP 4,390.00",patacon-pisao-plataitos-80-g-12000223
Penne (500g),Deliziare,,"COP 3,990.00",penne-deliziare-500-g-12000287
Helados De Goma,Bebeto,,"COP 4,390.00",helados-de-goma-bebeto-150-g-12002438
Choco Chips (115g),Biscolata,,"COP 8,990.00",laminas-de-chocolate-biscolata-chocochips-115-g-12001152
Pan Artesanal (500g),Horneaditos,,"COP 4,990.00",pan-artesanal-horneaditos-500-g-12000800
Pan Tajado Artesanal Integral (500g),Horneaditos,,"COP 6,490.00",pan-tajado-artesanal-integral-horneaditos-500-g-12003160
Tortillas Integrales (250g),Natri,,"COP 3,990.00",tortilla-integral-natri-8-und-250-g-12001257
Jugo De Naranja (1L),Tree Fruts,,"COP 5,190.00",jugo-de-naranja-fresco-tree-fruts-1000-ml-12000380
Jugo de Limón (250ml),Tree Fruts,,"COP 2,990.00",jugo-de-limon-tree-fruts-250-ml-12002197
Jugo de Mandarina (1L),Tree Fruts,,"COP 6,890.00",jugo-de-mandarina-tree-fruts-1000-ml-12000444
Sprite (1750ml),Sprite,,"COP 2,990.00",
Maní (200g),Nuthos,,"COP 3,990.00",mani-salado-nuthos-200-g-12000323
CocaCola (1750ml),Coca Cola,,"COP 5,550.00",gaseosa-coca-cola-1750-ml-12002106
Arándanos (150g),Nuthos,,"COP 6,990.00",arandanos-nuthos-150-g-12000407
Pistachos (70g),Nuthos,,"COP 6,790.00",pistacho-nuthos-70-g-12001121
Huevos x25,Buenasos,,"COP 12,300.00",huevo-tipo-a-sol-naciente-30-und-12000344
Cereal (300g),Fit Graan,,"COP 10,390.00",cereal-de-avena-con-canela-fit-graan-300-g-12000802
Yogurt Griego De Mora,Latti,,"COP 3,850.00",yogurt-griego-mora-latti-160-gr-12003385
Postre De Tres Leches,Don Jacobo,,"COP 4,100.00",postre-tres-leches-86-g-12001898
Flan De Leche (150g),Latti,,"COP 4,100.00",flan-de-leche-con-caramelo-latti-150-g-12000183
Jamón Serrano,Louri Sierra,,"COP 7,990.00",jamon-serrano-lourisierra-80-g-12000480
Tostadas De Mantequilla (100g),Horneaditos,,"COP 2,390.00",tostada-mantequilla-horneaditos-100-g-12000199
Pan De Hamburguesa,Horneaditos,,"COP 2,690.00",pan-hamburguesa-horneaditos-4-und-320-g-12000049
Cerveza (330ml),Bahía,,"COP 1,690.00",cerveza-bahia-330-ml-12002513
Achiras Del Huila,Las Originales,,"COP 6,790.00",achiras-del-huila-120-g-12001107
Vino Tinto Carmenere,Quinta Las Cabras,,"COP 21,990.00",vino-tinto-carmenere-reserva-quinta-las-cabras-750-ml-12000278
Salchichas De Pavo (1.36Kg),Gwaltney Great Dogs,,"COP 41,500.00",292700
Mantequilla De Mani,Member's Selection,,"COP 26,500.00",25018
