Name,Listo,Para
"Ropa/Blusas, antalones, vestidos, short, bermuda",Yes,Ambos
Pasta Dental,Yes,Ambos
Máquina de afeitar,Yes,Carlos
Toallas sanitarias,Yes,Lourdes
Protectores diarios,Yes,Lourdes
"Botiquin / dolex, mareol, alka selset, alergia, electrolitos, naproxeno, Fibra, melatonina, Medidor de oxigeno, termometro? algodon? copitos? hidratacion labial? Algodón ",No,Ambos
Lapiceros,Yes,Ambos
Libreta de notas,Yes,Ambos
"Bolsa de ropa sucia ",Yes,Ambos
Jabonera,Yes,Ambos
Cables celular y reloj - cargador,No,Ambos
Cepillo de Dientes y ortodoncia,No,Ambos
Panties,Yes,Lourdes
Boxers,No,Carlos
Ropa frio,Yes,Ambos
Zapatos,Yes,Ambos
Carteras,Yes,Lourdes
Maletin,Yes,Ambos
Brasier y copas,Yes,Lourdes
"Maquillaje/ polvo, sombra, rubor, labial",Yes,Lourdes
Cepillo de cabello,No,Ambos
Perfume,Yes,Ambos
Antibacterial,Yes,Ambos
Tapabocas,Yes,Ambos
Cuchillas de afeitar,Yes,Lourdes
Ganchos y moñas,Yes,Ambos
Reloj,No,Ambos
"Accesorios / cadena, aretes",No,Ambos
"Sandalias, chanclas",Yes,Lourdes
Pijama,Yes,Ambos
Protector solar,Yes,Ambos
Desodorante,Yes,Ambos
Polvo pies,Yes,Ambos
Paraguas,No,Ambos
"Tarjetero/ tarjeta credito, cedula, pasaporte, tarjeta sura avisar bancolombia",No,Ambos
Medias,Yes,Ambos
Adaptador de corriente,Yes,Ambos
"Shampoo, masaje, etc",No,Ambos
Gafas de sol y leer,Yes,Ambos
Gorra sombreros,Yes,Lourdes
Lima y corta uñas,Yes,Ambos
Lycra,Yes,Lourdes
Thermo de agua,No,Ambos
Itinerario,Yes,Ambos
Efectivo,Yes,Ambos
Celular,No,Ambos
iPad,No,Carlos
Almohada de cuello y/o manta?,No,Ambos
Plan de internet,No,Ambos
Toallitas humedas y papel higienico,No,Ambos
Candados,Yes,Ambos
Antifaz y tapones de oidos?,Yes,Ambos
Bateria portatil,No,Ambos
"Etiqueta de equipaje con información de contacto?
",No,Ambos
Audifonos,Yes,Ambos
Kleenex,No,Ambos
Linterna?,No,Ambos
Ropa extra por emergencia,Yes,Ambos
Repelente,No,Lourdes
Tijeras?,No,Ambos
Llaves,Yes,Carlos
Set de costuras? si se daña ropa,No,Ambos
Palo de selfie,Yes,Carlos
Anticonceptivos? jaja,No,Carlos
Cepillo planchador,No,Lourdes
Jabon,Yes,Ambos
