Name,Location
Exito,"Av. Alberto Assa # Calle 87, Barranquilla, Atlántico

Centro Comercial BuenaVista, Carrera 53 con Calle 98 Esquina, Barranquilla, Atlántico"
Tiendas D1,"Carrera 43 # 90 - 60, Barranquilla, Atlántico"
SAO,"Centro Comercial Miramar, Piso 1, Local 7, Cra. 43 #99-50, Barranquilla, Atlántico

Calle 93 # 45B - 90"
Tiendas Ara,"Carrera 53 # 74-181, Barranquilla, Atlántico"
Jumbo,"Centro Comercial BuenaVista, Carrera 53 con Cl. 99 #Carrera. 53, Barranquilla, Atlántico"
Fruvecol,"Carrera 43 # 90 - 76, Barranquilla, Atlántico"
Pricesmart,"Carrera 53 con, Cl. 106, Barranquilla, Atlántico"
Alkosto,
DollarCity,
HomeCenter,"Cra. 53 # 98 - 2  
• Horarios
• Lunes a Sábado: 8 am - 9 pm
• Domingos y festivos: 8 am - 8 pm"
