Name,Quantity
Frijoles Zaragoza (500g),1
Maíz Pira (500g),1
Galletas Saltín (8 Tacos),1
Aromática Manzanilla Hindú,1
Aceite (900ml),1
Caldo Costilla Ricostilla (126G),1
Lentejas (500g),1
Milo (250g),1
Carne Molida (1KG),1
Harina De Maíz (1KG),1
Carne Lomo Ancho (1KG),1
Aceitunas (250g),1
Café Modilo,1
Jugo De Naranja (1L),1
Yogurt Griego De Sabores Surtidos,4
Helados De Goma,1
Queso Parmesano (100g),1
Jamón De Pavo (250g),1
Salchichas Americanas (430g),1
Queso Gouda Tajado (150g),1
Leche Entera (200ml),4
Cereal (300g),1
Jugo De Limón (250ml),1
Queso Tajado,1
Pistachos (70g),1
Tóstadas De Plátano,1
Cábano x4,1
Arándanos (150g),4
Flan De Leche (150g),1
Pan Tajado Artesanal Integral (500g),1
Yougirt Griego De Mora,4
Pan Artesanal (500g),1
Postre De Tres Leches,1
Sprite (1750ml),1
Tostadas De Mantequilla (100g),1
Pan De Hamburguesas,1
Jamón Serrano,2
Maní (200g),1
Jamón De CErdo x20 (400g),2
Arepas De Chocolo x5 (400g),1
Jugo De Mandarina (1L),1
Tortillas Integrales (250g),1
Queso Sabanero Tajado (250g),1
Lomitos De Salmón x5 (454g),1
Café Instantáneo Descafeinado (85g),1
Leche Deslactosada (900ml),4
Vino Tinto Carbenet Sauvignon,1
chuleta De Cerdo,1
Choco Chips (115g),1
Penne (500g),1
Nachos Crachos (200g),1
CocaCola (1750ml),1
Clavo Entero (20g),1
Huevos x25,1
Pimienta Molida (28g),1
Aceite Spray (180g),1
Arepa Con Queso (400g),1
Parfait,2
Salchichas De Pavo (1.36KG),1
Atún En Agua En Lata (170g),1
Lomitos De Pechuga De Pollo,1
Espinaca (500g),1
Mantequilla De Maní,1
Filete De Tilapia,1
Atún En Aceite En Lata (170g),1
Lomitos De Pechuga De Pollo,1
Deditos De Queso (250g),1
Empanadas De Carne x12 (420g),1
Arepas De Huevo x6 (240g),1
Spaghetti (500g),1
Cerveza (330ml),1
Achiras Del Huila,1
Vino Tinto Carmenere,1
Arroz (3KG),1
Ahuiyama (1KG),1.27
Mandarina (1KG),1.2
Mazorca x3,6
Colifror (1KG),0.37
Cebolla Cab Blanca (1KG),0.43
Cilantro (1KG),0.08
Banano (1KG),1.61
Cebolla Roja (1KG),0.45
Corozo x1,1
Pimentón Rojo (1KG),0.26
Pimentón Verde (1KG),0.13
Piña x1,0.54
Pepino (1KG),0.22
Rábanos (1KG),0.2
Tomate (1KG),1.84
Banano Uraba Verde (1KG),0.91
Zanahoria (1KG),0.56
Yuca (1KG),1.35
Sal (1KG),1
Ajo x1,1
Mantequilla Sin Sal (250g),1
Frijoles Cabeza Negra (500g),1
