Name,Amount,Created By,Created Time,Edited By,Performed
Payment #1,"COP 800,000.00",,"June 27, 2022 7:24 PM",,No
Payment #1,"COP 200,000.00",,"July 3, 2022 4:52 PM",,Yes
Payment #1,"COP 150,000.00",,"July 3, 2022 4:55 PM",,Yes
Payment #1,"COP 200,000.00",,"July 3, 2022 4:56 PM",,Yes
Payment #2,"COP 200,000.00",,"July 3, 2022 4:59 PM",,Yes
Payment #3,"COP 200,000.00",,"July 3, 2022 5:00 PM",,Yes
Payment #4,"COP 200,000.00",,"July 3, 2022 5:01 PM",,Yes
Payment #5,"COP 200,000.00",,"July 3, 2022 5:03 PM",,Yes
Payment #6,"COP 200,000.00",,"July 3, 2022 5:04 PM",,Yes
Payment #1,"COP 200,000.00",,"July 3, 2022 5:09 PM",,Yes
Payment #2,"COP 150,000.00",,"July 3, 2022 5:14 PM",,Yes
Payment #1,"COP 250,000.00",,"July 3, 2022 5:52 PM",,Yes
Payment #2,"COP 200,000.00",,"July 31, 2022 5:42 PM",,Yes
Payment #2,"COP 800,000.00",,"July 31, 2022 5:51 PM",,No
Payment #3,"COP 150,000.00",,"July 31, 2022 6:05 PM",,Yes
Payment #4,"COP 150,000.00",,"July 31, 2022 6:05 PM",,Yes
Payment #1,"COP 22,000.00",,"July 31, 2022 6:21 PM",,Yes
Payment #5,"COP 150,000.00",,"August 14, 2022 11:44 PM",,Yes
Payment #6,"COP 150,000.00",,"August 26, 2022 8:50 PM",,Yes
Payment #3,"COP 800,000.00",,"August 27, 2022 2:47 AM",,No
Payment #1,"COP 350,000.00",,"August 27, 2022 2:53 AM",,No
Payment #1,"COP 105,000.00",,"September 2, 2022 2:41 AM",,Yes
Payment #1,"COP 60,000.00",,"September 2, 2022 2:45 AM",,Yes
Payment #1,"COP 7,000.00",,"September 2, 2022 2:48 AM",,Yes
Payment #1,"COP 10,000.00",,"September 2, 2022 2:50 AM",,Yes
Payment #2,"COP 50,000.00",,"September 2, 2022 2:51 AM",,Yes
Payment #2,"COP 50,000.00",,"September 2, 2022 2:52 AM",,Yes
Payment 3,"COP 100,000.00",,"September 2, 2022 3:09 AM",,Yes
Payment #2,"COP 50,000.00",,"September 5, 2022 7:18 PM",,No
Payment #1,"COP 22,000.00",,"September 11, 2022 2:46 PM",,No
"Payment #7 ","COP 100,000.00",,"September 15, 2022 1:23 PM",,Yes
Payment #1,"COP 200,000.00",,"September 19, 2022 12:02 PM",,No
Payment #1,"COP 17,000.00",,"September 19, 2022 12:07 PM",,No
"Payment #3 ","COP 130,000.00",,"September 29, 2022 10:32 PM",,Yes
Payment #1,"COP 25,000.00",,"September 29, 2022 10:33 PM",,Yes
Payment #1,"COP 80,000.00",,"September 29, 2022 10:34 PM",,Yes
Payment #1,"COP 78,000.00",,"September 29, 2022 10:35 PM",,Yes
Payment #4,"COP 800,000.00",,"October 2, 2022 5:11 PM",,No
Payment #5,"COP 800,000.00",,"October 26, 2022 2:37 PM",,No
Payment #1,"COP 500,000.00",,"October 28, 2022 2:34 AM",,No
Payment #2,"COP 500,000.00",,"October 28, 2022 2:37 AM",,No
Payment #1,"COP 100,000.00",,"October 28, 2022 2:41 AM",,No
Payment #2,"COP 133,000.00",,"October 28, 2022 2:42 AM",,No
Payment #1,"COP 137,500.00",,"October 28, 2022 2:42 AM",,No
Payment #1,"COP 83,000.00",,"October 28, 2022 2:42 AM",,No
Payment #1,"COP 40,000.00",,"October 28, 2022 2:43 AM",,No
"Costumes ","COP 10,000.00",,"November 20, 2022 5:30 AM",,Yes
Payment #1,"COP 100,000.00",,"December 2, 2022 3:04 AM",,Yes
Payment #1,"COP 200,000.00",,"December 2, 2022 3:05 AM",,Yes
Bonos home center,"COP 96,000.00",,"December 26, 2022 3:33 AM",,Yes
Payment #1,"COP 100,000.00",,"January 26, 2023 1:59 PM",,No
Payment #1,"COP 32,000.00",,"January 26, 2023 2:01 PM",,Yes
Payment #1,"COP 60,000.00",,"January 26, 2023 2:02 PM",,Yes
"Pago regalo karen c ","COP 60,000.00",,"January 26, 2023 2:10 PM",,Yes
"Boleta de carnaval ","COP 100,000.00",,"January 26, 2023 2:12 PM",,Yes
"pago guantes ","COP 32,000.00",,"January 26, 2023 2:13 PM",,Yes
"Pago kika e internet ","COP 260,000.00",,"January 31, 2023 3:00 AM",,Yes
"Payment 2 ","COP 300,000.00",,"January 31, 2023 3:04 AM",,Yes
Payment kika,"COP 260,000.00",,"January 31, 2023 3:09 AM",,Yes
Payment 3,"COP 200,000.00",,"February 28, 2023 1:16 PM",,Yes
"Regalo Vanesa ","COP 65,000.00",,"February 28, 2023 1:31 PM",,Yes
"Payment 4- dinero inglés ","COP 500,000.00",,"March 27, 2023 1:38 AM",,No
"Payment 5- Intercambio cumple Lola con iphone ","COP 250,000.00",,"March 30, 2023 11:36 PM",,No
Payment 1,"COP 600,000.00",,"April 8, 2023 1:39 PM",,Yes
"Payment 2 ","COP 400,000.00",,"April 10, 2023 8:29 PM",,Yes
"Pago 6 - dinero inglés ","COP 500,000.00",,"April 29, 2023 3:14 AM",,No
"Payment ","COP 80,000.00",,"April 29, 2023 3:19 AM",,Yes
"Payment descontando Mario I ","COP 85,000.00",,"April 29, 2023 1:57 PM",,Yes
"Payment ","COP 45,000.00",,"April 29, 2023 1:59 PM",,No
Payment 1,"COP 740,000.00",,"May 21, 2023 1:22 PM",,No
"Pago 7 - dinero inglés ","COP 500,000.00",,"May 21, 2023 1:25 PM",,No
Payment 1,"COP 120,000.00",,"May 27, 2023 6:33 PM",,Yes
Payment 1,"COP 110,000.00",,"May 27, 2023 6:35 PM",,Yes
payment 8 -clase ingles,"COP 500,000.00",,"July 1, 2023 2:17 PM",,No
"Payment 9 - descuento $50 bday nancy ","COP 154,000.00",,"July 1, 2023 2:19 PM",,Yes
Intercambio,"COP 50,000.00",,"July 1, 2023 2:25 PM",,No
Payment 1,"COP 72,000.00",,"July 26, 2023 12:55 AM",,Yes
Payment 1,"COP 120,000.00",,"July 30, 2023 6:45 PM",,Yes
Payment 1,"COP 80,000.00",,"August 26, 2023 6:13 PM",,Yes
Payment 1,"COP 45,000.00",,"August 26, 2023 6:13 PM",,Yes
"Payment rosa negra ","COP 120,000.00",,"August 31, 2023 2:27 AM",,Yes
Payment #1,"COP 256,000.00",,"October 30, 2024 12:21 AM",,Yes
Payment #1,"COP 375,000.00",,"October 30, 2024 12:35 AM",,Yes
Payment #1,"COP 51,000.00",,"October 30, 2024 12:37 AM",,No
Payment 1,"COP 1,460,000.00",,"November 11, 2024 8:18 PM",,No
