Name,Borrower,Created Time,Created by,Edited By,Lender,Principal
Lourdes’ Eyes Operation,,"June 29, 2022 12:39 AM",,,,"COP 4,000,000.00"
Lourdes’ Trainer,,"July 3, 2022 4:51 PM",,,,"COP 500,000.00"
Apple Watch SE,,"July 3, 2022 4:57 PM",,,,"COP 1,200,000.00"
Car Crash,,"July 3, 2022 5:07 PM",,,,"COP 1,000,000.00"
Lace Front,,"July 3, 2022 5:49 PM",,,,"COP 250,000.00"
Lourdes’ Trainer (July),,"July 31, 2022 5:48 PM",,,,"COP 250,000.00"
Lourdes Shopping,,"July 31, 2022 6:19 PM",,,,"COP 72,000.00"
Lourdes SOMO Course,,"August 18, 2022 3:07 PM",,,,"COP 60,000.00"
Bread,,"August 20, 2022 10:18 PM",,,,"COP 10,000.00"
Yoi Case,,"August 20, 2022 11:14 PM",,,,"COP 7,000.00"
Valentina,,"August 23, 2022 2:37 AM",,,,"COP 350,000.00"
Cumpleaños de la mamá de Lourdes,,"September 1, 2022 3:29 AM",,,,"COP 285,000.00"
"Matriarca Amor y Amistad ",,"September 11, 2022 2:43 PM",,,,"COP 100,000.00"
Lourdes’ Trainer,,"September 15, 2022 1:15 PM",,,,"COP 80,000.00"
Préstamo pagoSept 16,,"September 15, 2022 1:21 PM",,,,"COP 200,000.00"
"Celebración en pasta Divina ",,"September 19, 2022 12:05 PM",,,,"COP 150,000.00"
Maglia Café,,"September 24, 2022 9:33 PM",,,,"COP 25,000.00"
Claro,,"October 18, 2022 1:19 AM",,,,"COP 100,000.00"
Zapatos,,"October 22, 2022 11:12 PM",,,,"COP 40,000.00"
Comida De Kika,,"October 23, 2022 4:46 PM",,,,"COP 137,500.00"
Medicina de Kika,,"October 23, 2022 9:09 PM",,,,"COP 83,000.00"
Car Crash #2,,"October 28, 2022 2:35 AM",,,,"COP 1,000,000.00"
Claro,,"November 19, 2022 1:50 PM",,,,"COP 100,000.00"
Lourdes' Trainer,,"November 19, 2022 1:51 PM",,,,"COP 200,000.00"
Galleta Costume,,"November 19, 2022 9:45 PM",,,,"COP 10,000.00"
iPhone 13,,"November 25, 2022 11:22 PM",,,,"COP 3,000,000.00"
"Internet - kika’s food ",,"January 10, 2023 11:03 PM",,,,"COP 260,000.00"
Guantes Para Horno,,"January 16, 2023 2:39 AM",,,,"COP 32,000.00"
"Regalo karen ",,"January 18, 2023 6:39 PM",,,,"COP 60,000.00"
"Boleta evento carnaval 2023 ",,"January 22, 2023 1:00 AM",,,,"COP 100,000.00"
"Regalo Vanesa ",,"February 3, 2023 11:52 PM",,,,"COP 65,000.00"
Préstamo 1m,,"April 6, 2023 3:00 AM",,,,"COP 1,000,000.00"
"Película Mario ",,"April 8, 2023 1:51 PM",,,,"COP 45,000.00"
"Ticket to Armenia ",,"April 15, 2023 10:23 PM",,,,"COP 740,000.00"
"Matriarca - post cumple Lola ",,"April 16, 2023 1:57 PM",,,,"COP 80,000.00"
"Viking house y topic  ",,"April 29, 2023 3:16 AM",,,,"COP 85,000.00"
Bbc + santa cabrona,,"May 13, 2023 7:43 PM",,,,"COP 120,000.00"
"Viking house Felícita y nancy ",,"May 21, 2023 3:06 AM",,,,"COP 110,000.00"
"Nancys bday ",,"June 9, 2023 10:41 AM",,,,"COP 50,000.00"
"Película Barbie y burger ",,"July 23, 2023 7:25 PM",,,,"COP 72,000.00"
"Whiskey ",,"July 29, 2023 10:59 PM",,,,"COP 120,000.00"
"Comida rosa negra ",,"August 6, 2023 2:18 AM",,,,"COP 120,000.00"
Galleta Guacal,,"August 12, 2023 10:59 PM",,,,"COP 45,000.00"
"Guardería galleta ",,"August 18, 2023 8:56 PM",,,,"COP 80,000.00"
Washing Machine,,"April 28, 2024 3:21 AM",,,,"COP 2,100,000.00"
Nails + Water Bomb,,"April 28, 2024 3:33 AM",,,,"COP 150,000.00"
Préstamo Cuota Extraordinaria,,"September 7, 2024 2:57 AM",,,,"COP 500,000.00"
Felicita’s Gifts,,"September 7, 2024 5:52 PM",,,,"COP 51,000.00"
Clothes,,"September 7, 2024 9:35 PM",,,,"COP 370,500.00"
Air fryer,,"September 15, 2024 10:50 PM",,,,"COP 40,000.00"
Brown Shirt,,"September 21, 2024 10:51 PM",,,,"COP 32,000.00"
"Disfraz galleta ",,"October 20, 2024 9:52 PM",,,,"COP 25,000.00"
"Shakira ticket ",,"October 20, 2024 9:52 PM",,,,"COP 560,000.00"
"D1- Lola ",,"October 20, 2024 9:53 PM",,,,"COP 60,000.00"
"Ambientador nana ",,"October 21, 2024 12:00 AM",,,,"COP 24,000.00"
Disfraz,,"October 26, 2024 2:24 AM",,,,"COP 75,000.00"
"Desodorante Lolo ",,"November 2, 2024 2:24 PM",,,,"COP 26,000.00"
"Pan Árabe ",,"November 9, 2024 2:03 PM",,,,"COP 20,000.00"
"Katherine’s  gift ",,"November 9, 2024 2:50 PM",,,,"COP 40,000.00"
eurotrip,,"November 11, 2024 8:15 PM",,,,"COP 18,000,000.00"
Cervezas y pitillos,,"November 12, 2024 12:28 AM",,,,"COP 23,000.00"
"Queso parmesano ",,"November 23, 2024 1:55 PM",,,,"COP 10,000.00"
