Name,Use Cases
Melatonina,Sueño
Diclofenáco,"Dolor Corporal, Inflamación De Articulaciones"
Dolex,"Dolor De Cabeza, Malestar General"
Loratadina,Alergia
Aspirina Efervescente,Dolor De Cabeza
Noravel,Dolor De Garganta
Alka-Seltzer,Antiácido
Bicarbonato de Sodio,"Antiácido, Reflujo"
Omeprazol,Antiácido
Alcohol,Limpieza
Curitas,Protección
Agua Oxigenada,Desinfectante
Isodine Bucofaríngeo,Desinfectante Bucal
Isodine,Desinfectante
Algodón,Limpieza
Hisopos De Algodón,Limpieza
Venda Elástica,"Dolor Corporal, Inflamación De Articulaciones"
Pads de Hielo,Dolor De Cabeza
Crema enfriante,"Dolor Corporal, Inflamación De Articulaciones"
Piralvex,Desinfectante Bucal
VapoRub,Alergia
Naproxeno,Dolor Corporal
"Acetaminofen Forte ",Dolor De Cabeza
Anticonceptivos,Protección
Trimebutina,"Colón, Gastro"
"Bis bacter ",Gastro
Dihidrocodeina jarabe,"Dolor De Garganta, Gripe"
Termómetro,Signos Vitales
Oxímetro,Signos Vitales
"Guayacolato ",Gripe
