Name,Type
Pasta De Zuchini,"Dinner, Lunch"
Pudín De Vainilla,Dessert
Postre Napoleón,Dessert
Torta De Queso,Dessert
Postre De Tres Leches (Oreo),Dessert
Pollo Napolitano,"Dinner, Lunch"
Pechuga De Pollo Rellena,"Dinner, Lunch"
Bailey,Drink
"Ensalada Fría De Pasta, Jamón y Pollo","Dinner, Lunch"
Croquetas De Jamón Serrano,"Dinner, Lunch"
Marquesa De Chocolate,Dessert
Sandwich De Huevo,"Breakfast, Dinner"
Galletas Fit De Gaby,"Dessert, Snack"
Quesillo,Dessert
New Recipe,
"beer preparation ",Drink
