Name,Original Name
Batidora,Hand Mixer
Tenedor,Fork
Cuchara,Spoon
Espátula,Spatula
Exprimidor De Limones,Lemon Crusher
Horno,Gas Range
Nevera,Refrigerator
Licuadora,Blender
Horno Microondas,Microwave
Rayador,Grater
Colador,Colander
Tabla De Cortar,Chopping Board
Guantes Para Horno,Oven Gloves
Rodillo,Rolling Spin
Batidor,Whisk
Cuchillo,Knife
Cuchara De Madera,Wooden Spoon
Desnatador De Malla,Mesh Skimmer
Cucharón,Ladle
Servidor De Tarta,Pie Server
Sacacorchos,Corkscrew
Olla,Pot
Sartén,Frying Pan
Olla De Presión,Pressure Cooker
Tazón,Bowl
Contenedor,Container
Escurridor De Ensalada,Salad Spinner
Servilletas,Napkins
Tijeras De Cocina,Kitchen Shears
Delantal,Apron
Contenedor De Vidrio,Glass Container
Shredder,
Platos,DInner Plate
Plastico,Plastic
Brocha,
Vaso,Glass
Molde Para Quesilllo,
Abre Latas,Can Opener
