Name,Archived,Status
Viaje a Europa 2024,Yes,Done
Comprar Barra de Sonido,Yes,Done
Comprar Ventilador de Sala,No,Ready To Start
Decoración De Navidad 2025,No,Ready To Start
Comprar Reloj Para Sala,No,Ready To Start
Comprar Prensa Panini,No,Ready To Start
Configurar Notion,No,Done
Viaje Alemania,No,Ready To Start
Viaje a Reino Unido,No,Ready To Start
Viaje a Estados Unidos,No,Ready To Start
Viaje a España,No,Ready To Start
Aprender a Hacer Cócteles,No,Ready To Start
Realizar el Libro “100 Cosas Que Hacer En Pareja”,No,Paused
Realizar Inversión Conjunta En Vivienda,No,Ready To Start
Reemplazar Mueble de Sala,No,Ready To Start
Reemplazar Nevera,No,Ready To Start
Watch Berlin,No,In Progress
Viaje a Japón,No,Ready To Start
Hacer un Libro de Recetas,No,Ready To Start
Ver Películas de Harry Potter,No,Paused
Decoración de Navidad 2024,No,In Progress
Computador de Lourdes,No,Ready To Start
Atención de Lourdes,No,Ready To Start
